iso_code,title,description,lang_tranlation,title_translated,description_translated,pubDate
lv,"Krišjānis Kariņš skaidro Krievijas mērķus, ASV politiku un drošību Eiropā","Bijušais premjerministrs (2019.-2023.) un ārlietu ministrs (2023.-2024.) Krišjānis Kariņš (JV), kas pašlaik ir vecākais padomnieks ģeopolitikas jautājumos starptautiskajā stratēģiskās komunikācijas aģentūrā ""Kreab"", intervijā LETA stāsta, kāpēc miers Ukrainā nav iespējams bez reālām Rietumu drošības garantijām, kāpēc ASV latvieši balsoja par Donaldu Trampu un kāpēc Eiropas lielākais apdraudējums ir galēji labējie spēki.",en,"Krisjanis Karin explains Russian Merkus, US politics and safety Europe","Former Prime Minister (2019-2023) and Minister of Foreign Affairs (2023-2024) Krisjanis Karin (JV), who is currently the older advisor to Geopolitics on international strategic communication agentura ""Kreab"", interview LETA Stasta, Donald Trump voted and the biggest threat of Europe is the ways of the righteousness.",2025-03-18 05:01:15
lv,Pavasaris jau tepat aiz stūra: Latvijā diena pirmo reizi šogad garāka par nakti,"18. martā pirmo reizi šogad dienas garums Latvijā ir lielāks nekā nakts garums, liecina ""timeanddate.com"" dati.",en,Spring is just behind the stura: Latvia's day for the first time this year long for the night,"March 18, for the first time this year, Latvia is larger than night, according to TIMEANANDDATE.com.",2025-03-18 06:19:53
lv,12 stundas un trīs minūtes. Diena kļuvusi garāka par nakti,"Otrdien, 18. martā, pirmo reizi šogad dienas garums Latvijā ir lielāks nekā nakts garums, liecina ""timeanddate.com"" dati.",en,12 hours and three minutes. The day shook her garaka per night,"On Tuesday, March 18, for the first time this year, Latvia is larger than night, according to TIMANDDDATE.com.",2025-03-18 06:45:00
lv,"LNSO un Goran Gora meklēs atbildi uz jautājumu, vai mākslīgais intelekts spēs aizstāt komponistus","Jau šo ceturtdien, 20. martā, plkst. 19.00 _Hanzas peronā_ skatītāji, klausītāji un domātāji kopā ar Latvijas Nacionālo simfonisko orķestri (LNSO) un stāstnieku Goran Gora piedzīvos unikālu mūzikas, mākslas un tehnoloģiju satikšanos koncertā _Simfoniskais hits ar Goran Gora. Ravela Bolero un mākslīgais intelekts_",en,LNSO and Goran Gora's search for the question to question whether the Maximum Intelligence will replace the composers,"Already on Thursday, March 20th 19.00 _Hanzas platforms, listeners and thinkers together with the Latvian National Symphony Orkester (LNSO) and Goran Gora will be able to meet unique music, art and technology at the concert _Simfonic hits with Goran Gora. Ravela Bolero and Maximum Intellect_",2025-03-18 06:45:00
lv,Vatikāns: Pāvesta veselības stāvoklis lēnām uzlabojas,"Romas katoļu baznīcas pāvesta Franciska veselības stāvoklis lēnām turpina uzlaboties, paziņoja Vatikāns.",en,Vatican: Healthy Healthy Lena Improves,"The Roman Catholic Church of Francis continues to improve the health condition, according to the Vatican.",2025-03-18 06:44:00
lv,Ķīnas elektroauto ražotājs «BYD» prezentē sistēmu elektromobiļa uzlādei piecās minūtēs,"Ķīnas lielākā elektrisko automobiļu ražošanas uzņēmuma ""BYD"" akciju cena otrdien sasniegusi rekordaugstu līmeni pēc tam, kad autoražotājs prezentēja jaunu tehnoloģiju, ar kuru automašīnas akumulatorus iespējams uzlādēt piecās minūtēs.",en,Kinas Electrical Trailer BYD Prevente System Electromobila Binding Five minutes,"On Tuesday, the share price of ""BYD"" has reached a record high level when the authors presented a new technology to cover five minutes of automotive batteries.",2025-03-18 06:40:00
lv,Lielbritānija un ES apspriedīs iesaldēto Krievijas aktīvu konfiskāciju,"Lielbritānija un Eiropas Savienība (ES) apspriedīs iesaldēto Krievijas aktīvu konfiskāciju un aizsardzības izdevumu palielināšanu, lai pastiprinātu spiedienu uz Krieviju pirms miera sarunām par Ukrainu, atsaucoties uz anonīmiem avotiem, vēsta ziņu aģentūra ""Bloomberg"".",en,Great Britain and I have discussed the frosted confiscation of Russian activities,"The United Kingdom and the European Union (EU) have discussed the frozen confiscation of Russia's activities and increasing protection expenses to increase pressure on Russia before peace talks about Ukraine, referring to anonymous sources, Vesta knows agentura ""Bloomberg"".",2025-03-18 06:33:49
lv,Tramps: Strīds ar Zelenski bija stratēģija spiedienam uz Ukrainu,"Strīds ar Ukrainas prezidentu Volodimiru Zelenski Baltā nama Ovālajā kabinetā bija daļa no stratēģijas, kā izdarīt spiedienu uz Ukrainu, paziņoja ASV prezidents Donalds Tramps.",en,Trump: Strids with Zelenski was a strategy for pressure on Ukraine,"Strids with Ukrainian President Volodimir Zelenski's White House's Ovalai Cabinet was part of the strategy of putting pressure on Ukraine, according to US President Donald Trump.",2025-03-18 06:32:27
lv,Stārmera pārstāvis: Vairāk nekā 30 valstis gatavas miera uzturētāju nosūtīšanai uz Ukrainu,"Vairāk nekā 30 pasaules valstu paudušas gatavību nosūtīt savus karavīrus uz miera uzturēšanas misiju Ukrainā, paziņoja Lielbritānijas premjerministra Kīra Stārmera pārstāvis.",en,Starmer Representative: More than 30 countries ready for peace maintenance to Ukraine,"More than 30 countries around the world to send their soldiers to the peacekeeping mission in Ukraine, known Britain's Prime Minister Kira Starmera.",2025-03-18 06:31:00
lv,"""Tas bija nepieciešams!"" Tramps attaisno strīdu ar Zelenski un militārās palīdzības apturēšanu Ukrainai","ASV prezidents Donalds Tramps norādīja, ka Baltajā namā notikušās asas diskusijas ar Ukrainas prezidentu Volodimiru Zelenski bija saistītas ar plašāku pieeju attiecībām ar Kijivu.",en,"""It was needed!"" Trump justifies the dispute with Zelenski and Military Help Stopping Ukraine",US President Donald Trump said that the White House had a sharp debate with Ukrainian President Volodimir Zelenski was linked to a wide approach to Kijiv.,2025-03-18 06:30:55
