iso_code,title,description,lang_tranlation,title_translated,description_translated,pubDate
fi,Suomen talouden ennustetaan kääntyvän nousuun,"Inflaation arvioidaan olevan tänä vuonna 1,5 prosenttia.Artikkeli Suomen talouden ennustetaan kääntyvän nousuun julkaistiin ensimmäisen kerran Verkkouutiset.",en,The Finnish economy is predicted to be rising,Inflation is estimated to be 1.5 per cent in the year. Article the Finnish economy is predicted to be erected for the first time.,2025-03-18 05:03:55
fi,Näistä rakennuksista on yhä maksettava kiinteistövero,Kiinteistönomistajat saavat viimeistään tänään vuoden 2025 verotuspäätökset OmaVeroon.Artikkeli Näistä rakennuksista on yhä maksettava kiinteistövero julkaistiin ensimmäisen kerran Verkkouutiset.,en,Female buildings have to pay a real estate tax,Property owners will last the last of the 2025 taxable taxes in OmaVero. Article the female buildings is for the first time the real estate tax was published on the web news.,2025-03-18 05:29:11
fi,Jääkiekko | Jyrki Aho kertoo – Kiekko-Espoo välttyi pahalta menetykseltä,SM-liigan pudotuspelit alkavat.,en,Jaakiekko Jyrki Aho tells Kiekko-Espoo,The Finnish Champions League playoffs begin.,2025-03-18 05:27:00
fi,Prinsessa Catherine teki paluun perinteik­kääseen tilaisuuteen ja kansa ihastui: ”Hän näyttää niin onnelliselta”,Prinsessa Catherine nähtiin Pyhän Patrickin päivän juhlallisuuksissa. Hänellä on tärkeä rooli tilaisuudessa. Walesin prinsessa Catherine osallistui maanantaina Pyhän Patrickin päivän juhlallisuuksiin. Irlannin kansallispäivän perinteisiin kuuluvat vihreisiin pukeutuminen ja apilan kantaminen vaatteessa. Catherine on kunnioittanut perinnettä vuosikaudet.,en,Princess Catherine made a comeback to a traditional opportunity and the people fell in love: I would like to be so happy,"Princess Catherine was nailed in the celebrations of St. Patrick's day. Han has a precise role in the event. On Monday, the Princess Catherine of Wales participated in the celebrations of St. Patrick's day. The traditions of the Irish National Shoe include dressing in the Greens and carrying clover in clothing. Catherine has honored the tradition for years.",2025-03-18 05:24:30
fi,Kremlin operaatiot Euroopassa eivät ole hellittämässä,Tiedustelupalvelujen kerrotaan valmistelevan yhä häikäilemättömämpiä operaatioita länttä vastaan.Artikkeli Kremlin operaatiot Euroopassa eivät ole hellittämässä julkaistiin ensimmäisen kerran Verkkouutiset.,en,Kremlin's operations in Europe are not relieved,Intelligence services are reported to prepare one -off operations against Lanta.,2025-03-18 05:20:22
fi,"Israel iski yöllä rajusti Gazaan, ilmaiskut tappoivat yli 300 ihmistä","Israelin yllättäen viime yönä aloittamat iskut Gazaan ovat surmanneet yli 330 ihmistä, kertovat Gazan pelastusviranomaiset. Israel on varoittanut mittavien ilmaiskujen jatkuvan, kunnes Hamas vapauttaa panttivangit.",en,"Israel struck yo fiercely in Gaza, the airbags killed over 300 people","The attacks on Gaza, who started over the last Yona, have killed over 330 people, says Gaza's rescue authorities. Israel has warned that the major expressions will continue until Hamas releases hostages.",2025-03-18 05:16:22
fi,"Israel jatkoi yöllä hyökkäystään Gazassa, mittavat ilmaiskut surmanneet yli 200 ihmistä","Israelin ilmaiskut Gazaan ovat surmanneet yön aikana yli 220 ihmistä, kertovat Gazan pelastusviranomaiset. Israel jatkoi yöllä mittavien ilmaiskujen tekemistä Gazaan, ja palestiinalaisviranomaisten mukaan hyökkäys on jatkunut aamuun asti.",en,"Israel continued his hyques in Gaza, large -scale expression over 200 people","Israeli aircraft in Gaza have killed more than 220 people during Yo, says Gaza's rescue authorities. Israel continued to make major expressions in Gaza, and according to the Palestinian authorities, hyquencies have continued until morning.",2025-03-18 05:16:22
fi,Microsoftilla kävi nolo moka – joidenkin mielestä tämä voi olla paras Windows-bugi koskaan,Copilot-ongelma vaikuttaa näillä näkymin vain pieneen osaan käyttäjistä.,en,At Microsoft Kavi Nolo Moka for some think this may be the best Windows bug ever,Only a small number of use of the Copilot affects Nakym.,2025-03-18 05:16:00
fi,Nyt tärähti lämmin ennuste!,"Tuoreen kuukausiennusteen mukaan kevät etenee vauhdilla. Tuore kuukausiennuste lupaa lämmintä kevättä. Euroopan keskipitkien sääennusteiden keskuksen (ECMWF) tuoreimman kuukausiennusteen mukaan maaliskuun loppupuoliskolla ja huhtikuun alussa Suomessa on edessä laajalti tavanomaista lämpimämpää säätä. – Kuukausiennusteen perusteella kevät etenee vauhdilla, toteaa Forecan päämeteorologi Kristian Roine sääblogissa.",en,Now Lammi's forecast!,"According to a recent monthly forecast, spring is progressing rapidly. A fresh monthly forecast promises Lamminta spring. According to the latest monthly forecast for the European Center for Mediums (ECMWF), the European Center for Forecasts is available in late March and at the beginning of April in Finland there is a wide range of ponds in Finland.  Based on the monthly forecast, spring is progressing rapidly, says Kristian Roine Saablog, Paameorologist Foreca.",2025-03-18 05:15:02
fi,Uusi ydinase nousi pöydälle – Asiantuntijat peloissaan,"Eurooppa ei enää luota USA:n ydinasesateenvarjoon, mutta sen korvaaminen jättäisi jäljelle vain huonoja vaihtoehtoja. Ulkopoliittisen instituutin Matti Pesu ja Säteilyturvakeskuksen Elina Martikka käyvät läpi eri skenaarioita.",en,A new nuclear weapon rose to Poyda experts scared,"Europe will no longer trust the US's nuclear rainstorm, but replacing it would only give the foot the bad alternatives. Matti Pesu of the Institute for International Affairs and Elina Martikka of the Radiography Safety Authority are losing different scenarios.",2025-03-18 05:15:00
