iso_code,title,description,lang_tranlation,title_translated,description_translated,pubDate
sk,"Izrael obnovuje boje v Gaze, kým nebudú prepustení všetci rukojemníci","Izraelský premiér Netanjahu nariadil útoky na Hamas, ktoré majú pokračovať, kým nebudú prepustení všetci rukojemníci.",en,Israel renews the fighting in Gaza until all the hostages are not released,"Israeli Premier Netanyahu ordered the attacks to Hamas, who should continue until all hostages are released.",2025-03-18 05:02:15
sk,"Pospíšil s asistenciou pri vysokej prehre, traja Slováci sa tešili z výhier",Zámorská NHL mala na programe päť zápasov.,en,"Postovis with assistance at a high loss, three Slovaks were looking forward to the winners",Zamorska NHL had on the Pat Road program.,2025-03-18 05:28:00
sk,Libanon a Sýria sa po dvoch dňoch pohraničných prestreliek dohodli na prímerí,Libanonská armáda vrátila telá troch zabitých Sýrčanov.,en,Lebanon and Syria have agreed on Primer after two days of border guards,Lebanese Armada returned the body of three killed Syrcans.,2025-03-18 05:25:57
sk,"V utorok nás čaká slnečné a chladné počasie, počas dňa sa postupne oteplí","V studenom, pôvodom arktickom, vzduchu sa stred rozsiahlej tlakovej výše presunie zo Severného mora nad našu oblasť.",en,"On Tuesday we wait sunly and cool weather, during the bottom they gradually warmed","In the cold, flood of the Arctic, the air, the center of the extensive pressure overdue moves from the North Sea above our area.",2025-03-18 05:25:00
sk,Bieloruský súd poslal Japonca do väzenia na sedem rokov za údajnú špionáž,Pre japonskú tajnú službu mal fotografovať vojenské aj civilné zariadenia.,en,Belarusian barrel sent Japanese to seven -year bonding for a alleged spionaz,"For Japan, the secret service was supposed to photograph military and civilian facilities.",2025-03-18 05:22:12
sk,"Izrael spustil najintenzívnejšie útoky na Pásmo Gazy od prímeria, hlásia 220 mŕtvych",Hamas obvinil izraelského premiéra Benjamina Netanjahua z rozhodnutia „obnoviť vojnu“ po patovej situácii v rokovaniach...,en,"Israel has launched the most intense attacks on Pasmo Gaza from Primeria, voting 220 dead",Hamas accused the Israeli Premiera Benjamin Netanyahu of the decision to restore the war after the stalemate in the negotiations ...,2025-03-18 05:21:22
sk,Michaela Čobejová,,en,Michaela Cobejov,,2025-03-18 05:20:00
sk,"Neusmievame sa, ale vieme si pomáhať, hovoria o svete dospelých študenti, ktorí zorganizovali zbierku pre deti v duševných problémoch (podcast)","Štvorica študentov bratislavského Lýcea C. S. Lewisa zorganizovala verejnú zbierku pre svojich rovesníkov, ktorí sa ocitli na detských psychiatrických klinikách. Projekt Cirkus Paciento by mal počas celého týždňa priniesť na tieto miesta plné duševnej bolesti terapiu smiechom a interaktívnej klaunskej zábavy.",en,"We do not smile, but we can help, talk about the world of adult students who organized a collection for children in the troubles (podcast)","The Student of the Students of the Bratislava Lyce C. S. Lewis organized a public collection for their peers, who found themselves in children's psychiatric clinics. The Patient Circus project should bring the therapy of laughter and interactive clown entertainment to these places of fully pain during the whole week.",2025-03-18 05:20:00
sk,Nemecký ústavný súd odmietol námietky opozície proti mimoriadnemu zasadnutiu Bundestagu,Nemecký ústavný súd zamietol námietky opozície proti plánu vlády na presadenie výdavkového balíka 500 miliárd eur na obranu a infraštruktúru.,en,The German constitutional barrel refused to objection to the opposition against the extraordinary session of the Bundestag,The German constitutional barrel dismissed the opposition against the plane of the government for the enforcement of the expense package of EUR 500 billion for defense and infrastructure.,2025-03-18 05:19:00
sk,Nemecký ústavný súd odobril mimoriadnu schôdzu odchádzajúceho Spolkového snemu,Nemecký ústavný súd zamietol námietky opozície proti plánu vlády na presadenie výdavkového balíka 500 miliárd eur na obranu a infraštruktúru.,en,The German Constitutional barrel withdrew an extraordinary stairs of the departure federal assembly,The German constitutional barrel dismissed the opposition against the plane of the government for the enforcement of the expense package of EUR 500 billion for defense and infrastructure.,2025-03-18 05:19:00
sk,Spláchnutá hokejka v záchode funguje spoľahlivo. Kritika Ovečkina? Úplne nezmyselná,Hokejisti Trenčína po štyroch rokoch postúpili do štvrťfinále play off.,en,The flushed stick in the toilet works reliably. Criticism of Oveckina? Totally meaningless,Hockey players Trencina after the hundred years went to the Quartinale Playoff.,2025-03-18 05:15:00
sk,Libanon a Sýria sa po dvoch dňoch pohraničných prestreliek dohodli na prímerí,"Libanonskí a sýrski obranní predstavitelia v pondelok neskoro večer uzavreli dohodu o prímerí, ktorá by mala zastaviť dva dni trvajúce ozbrojené strety pozdĺž spoločných hraníc. Informovala o tom agentúra AP, ktorá sa odvoláva na sýrsku štátnu agentúru SANA. Sýrske ministerstvo obrany uviedlo, že kr...",en,Lebanon and Syria have agreed on Primer after two days of border guards,"Lebanenski and Syrian defense leaders on Monday tonight concluded an agreement on primer, which should stop two days of armed clashes along the border. She informed the AP agency, which appeals to Syr's state agency Sana. The Syr Ministry of Defense said KR ...",2025-03-18 05:50:40
