iso_code,title,description,lang_tranlation,title_translated,description_translated,pubDate
nl,Kritiek op wethouder in skybox Feyenoord houdt aan: wat kan wel en wat niet?,"KAATSHEUVEL - Loon op Zand wijst ambtenaren in een gedragscode af om een uitnodiging voor een voetbalwedstrijd aan te nemen. Maar waarom was wethouder Louis Laros dan tweemaal te gast in de skybox van EuroParcs bij een thuiswedstrijd van Feyenoord?, vraagt oppositiepartij GemeenteBelangen zich af. ‘De wethouder had niet op het aanbod in mogen gaan.’",en,Criticism of alderman in Skybox Feyenoord maintains: what is and what is not possible?,"Kaatsheuvel - Loon op Zand rejects officials in a code of conduct to accept an invitation for a football match. But why was alderman Louis Laros twice a guest in the European SKYbox of Europarcs at a Feyenoord home game?, Opposition party municipal interests wonders. The alderman should not have accepted the offer.",2025-03-18 05:03:05
nl,Sloop voor zalencentrum Vita Nova in Middelstum. Yke: ‘Ik ben blij met rigoureuze aanpak’,Het oude zalencentrum Vita Nova in Middelstum gaat tegen de vlakte. De gemeente Eemsdelta kocht het om verloedering te voorkomen. Er komen woningen.,en,Demolition for Zalencentrum Vita Nova in Middelstum. Yke: I'm happy with a rigorous approach,The old Zalencentrum Vita Nova in Middelstum goes down. The municipality of Eemsdelta bought it to prevent deterioration. There will be homes.,2025-03-18 06:20:00
nl,Uitvaart zonder uitvaart: voetbalclub eert levende speler met minuut stilte,Een pijnlijk moment in de Bulgaarse competitie. Voorafgaand aan de wedstrijd tussen Arda Kardzhali en Levski Sofia hield de thuisploeg een minuut stilte om een overleden oud-ploeggenoot te eren. Klein detail: de speler in kwestie bleek nog in leven.,en,Funeral without funeral: Football club Eert Living player with minute silence,"A painful moment in the Bulgarian competition. Prior to the match between Arda Kardzhali and Levski Sofia, the home team held a minute of silence to honor a deceased former teammate. Small detail: the player in question turned out to be alive.",2025-03-18 06:43:00
nl,Uitvaart zonder uitvaart: voetbalclub eert levende speler met minuut stilte,Een pijnlijk moment in de Bulgaarse competitie. Voorafgaand aan de wedstrijd tussen Arda Kardzhali en Levski Sofia hield de thuisploeg een minuut stilte om een overleden oud-ploeggenoot te eren. Klein detail: de speler in kwestie bleek nog in leven.,en,Funeral without funeral: Football club Eert Living player with minute silence,"A painful moment in the Bulgarian competition. Prior to the match between Arda Kardzhali and Levski Sofia, the home team held a minute of silence to honor a deceased former teammate. Small detail: the player in question turned out to be alive.",2025-03-18 06:43:00
nl,Uitvaart zonder uitvaart: voetbalclub eert levende speler met minuut stilte,Een pijnlijk moment in de Bulgaarse competitie. Voorafgaand aan de wedstrijd tussen Arda Kardzhali en Levski Sofia hield de thuisploeg een minuut stilte om een overleden oud-ploeggenoot te eren. Klein detail: de speler in kwestie bleek nog in leven.,en,Funeral without funeral: Football club Eert Living player with minute silence,"A painful moment in the Bulgarian competition. Prior to the match between Arda Kardzhali and Levski Sofia, the home team held a minute of silence to honor a deceased former teammate. Small detail: the player in question turned out to be alive.",2025-03-18 06:43:00
nl,Uitvaart zonder uitvaart: voetbalclub eert levende speler met minuut stilte,Een pijnlijk moment in de Bulgaarse competitie. Voorafgaand aan de wedstrijd tussen Arda Kardzhali en Levski Sofia hield de thuisploeg een minuut stilte om een overleden oud-ploeggenoot te eren. Klein detail: de speler in kwestie bleek nog in leven.,en,Funeral without funeral: Football club Eert Living player with minute silence,"A painful moment in the Bulgarian competition. Prior to the match between Arda Kardzhali and Levski Sofia, the home team held a minute of silence to honor a deceased former teammate. Small detail: the player in question turned out to be alive.",2025-03-18 06:43:00
nl,Uitvaart zonder uitvaart: voetbalclub eert levende speler met minuut stilte,Een pijnlijk moment in de Bulgaarse competitie. Voorafgaand aan de wedstrijd tussen Arda Kardzhali en Levski Sofia hield de thuisploeg een minuut stilte om een overleden oud-ploeggenoot te eren. Klein detail: de speler in kwestie bleek nog in leven.,en,Funeral without funeral: Football club Eert Living player with minute silence,"A painful moment in the Bulgarian competition. Prior to the match between Arda Kardzhali and Levski Sofia, the home team held a minute of silence to honor a deceased former teammate. Small detail: the player in question turned out to be alive.",2025-03-18 06:43:00
nl,Albert Verlinde was teruggehaald om ‘de mens Rob de Nijs’ te duiden – hij stelde niet teleur,,en,Albert Verlinde was brought back to interpret man Rob de Nijs he did not disappoint,,2025-03-18 06:42:43
nl,Waarom gebeurt er zo weinig in recreatiegebied De Vleut? ‘Ik kan geen ijzer met handen breken’,BEST - Ongeveer zeven jaar geleden sloegen de gemeente Best en Jos Nooren van BestZOO de handen ineen om in De Vleut meer recreatiemogelijkheden te creëren. Toch is er tot dusver weinig gebeurd. Hoe zit dat?,en,Why does so little happens in De Vleut recreational area? I can't break iron with hands,"BEST - About seven years ago, the municipality of Best and Jos Nooren van Bestzoo joined forces to create more recreational opportunities in the Vleut. Yet little has happened so far. What about that?",2025-03-18 06:40:51
nl,Maurick vecht voor onderhoud kasteel: ‘Voor 380.000 euro huur willen we geen afbladderende kozijnen’,"VUGHT – Lekkages, afbladderend schilderwerk, kortsluiting in de buitenverlichting en een droogvallende slotgracht. Kasteel Maurick in Vught is een absolute toplocatie voor feesten en partijen, maar het onderhoudsniveau frustreert de exploitanten.",en,"Maurick Vecht for Maintenance Castle: For 380,000 euros in rent we do not want peeling frames","Vught leaks, peeling paintwork, short circuit in the outdoor lighting and a dried -falling moat. Maurick Castle in Vught is an absolute top location for parties and parties, but the maintenance level frustrates the operators.",2025-03-18 06:40:51
nl,Na vijf jaar terug bij af: De Heihorsten nog lijnrecht tegenover provincie over dwangsom van 300.000 euro,DEN BOSCH/SOMEREN - Via rechtbank en Raad van State weer terug bij af: een dispuut tussen de initiatiefnemer van vakantiepark De Heihorsten in Someren en de provincie sleept zich al vijf jaar voort. Tijd voor een gesprek?,en,"After five years ago at AF: De Heihorsten still directly opposite the province of a penalty of 300,000 euros",DEN BOSCH/SOMEREN - Through the court and Council of State back: a dispute between the initiator of the Heihorsten holiday park in Someren and the province has been dragging on for five years. Time for a conversation?,2025-03-18 06:40:50
nl,Waarom Hema en Ikea korting geven in ruil voor je oude dekbed,Een groeiend aantal kleding- en textielwinkels geeft korting aan klanten die hun gebruikte textiel inleveren. Consumenten moeten eraan wennen dat ze bij het winkelen hun oude spullen meenemen.,en,Why HEMA and IKEA give a discount in exchange for your old comforter,A growing number of clothing and textile stores gives a discount to customers who hand in their used textiles. Consumers have to get used to taking their old things with them when shopping.,2025-03-18 06:36:03
nl,VIDEO | Goed nieuws voor Verstappen: ‘Dan zitten we op het niveau van McLaren’ | GPFans News,"Red Bull-adviseur Helmut Marko weet na de Grand Prix van Australië waar de pijnpunten van de RB21 liggen, maar onthult in gesprek met Viaplay ook goed nieuws.",en,Video | Good news for Verstappen: Then we are at the level of McLaren | GPFans News,"Red Bull advisor Helmut Marko knows after the Grand Prix of Australia where the pain points of the RB21 are, but also reveals good news in conversation with Viaplay.",2025-03-18 09:24:45
