iso_code,title,description,lang_tranlation,title_translated,description_translated,pubDate
pl,Zagadkowy krąg chmur nad Pomorzem. Co to za zjawisko?,"Na zdjęciu satelitarnym, które przedstawia zachmurzenie nad Polską w poniedziałek rano, widać intrygujący krąg chmur nad Pomorzem w okolicy Słupska.",en,Mysterious clouds of clouds over Pomerania. What is this phenomenon?,"In the satellite photo, which presents cloudiness over Poland on Monday in the morning, you can see the intriguing cloud of clouds over Pomerania in the Supsk area.",2025-03-18 05:05:00
pl,"Rafał Woś: Hasło ""Mar-a-Lago"". Czyli o prawdziwym celu prezydentury Trumpa","Zapamiętajcie sobie nazwę ""układ z Mar-a-Lago"". Już bardzo niedługo może ona wejść do historii na równi z konferencją z Bretton Woods, traktatem wersalskim albo kongresem wiedeńskim.",en,"Rafa WOS: Hasm ""Mar-a-Lago"". That is, about the real goal of Trump's presidency","Remember the name ""skeleton with mar-a-lago"". Already very small, she can enter the history of the conference with the Bretton Woods conference, the Versailles Treaty or the Vienna Congress.",2025-03-18 06:20:00
pl,"Najnowszy sondaż. Tylko trzy partie w Sejmie, potężny odpływ od PiS","Gdyby wybory parlamentarne odbyły się w najbliższą niedzielę, zwyciężyłaby Koalicja Obywatelska z 34-procentowym poparciem. Na drugim miejscu znalazłoby się Prawo i Sprawiedliwość, zyskując 26,3 proc. głosów. Trzecie miejsce zajęłaby Konfederacja, która obecnie mogłaby liczyć na poparcie 21,4 wyborców.",en,"The latest probes. Only three parties in the Sejm, a powerful outflow from PiS","If the parliamentary elections were held this Sunday, the Civic Coalition would win with 34 % support. Law and justice would be in second place, gaining 26.3 percent. Gosow. The third place would be a confederation, which could currently count 21.4 voters.",2025-03-18 06:45:00
pl,"Indian Wells za nami, a organizatorzy ogłaszają. Ależ rekord!","Organizatorzy turniejów ATP i WTA w Indian Wells poinformowali, że w tym roku padł rekord frekwencji: w ciągu dwóch tygodni korty odwiedziło 504 268 fanów tenisa. Poprzedni rekord zanotowano w ubiegłym roku - 493 440 widzów.",en,"Indian Wells is behind us, and the organizers are ogula. But a record!","The organizers of the ATP and WTA tournaments in Indian Wells have announced that this year the turn of the attendance record: in two weeks of the court, 504 268 tennis fans. The previous record was recorded last year - 493,440 viewers.",2025-03-18 06:44:00
pl,Po rekordowym 2024 r. Dom Development zakłada jeszcze lepsze wyniki,"Dom Development z rekordową sprzedażą mieszkań, przekazaniami i zyskiem. W tym roku deweloper liczy na jeszcze więcej.",en,"After the record 2024, the Development House decides even better results","Dom Development with record sales of residents, transfer and profit. This year, the developer counts on even more.",2025-03-18 06:43:54
pl,Katarzyna Figura: Chcę żyć długo i pracować intensywnie,"""Sto lat to za mało. Chcę żyć długo i pracować intensywnie"" - wyznała Katarzyna Figura podczas inauguracji autorskich spotkań w Domu Pracy Twórczej ""U Filmowców"" w Sopocie. Raz w miesiącu z wybitnymi osobowościami polskiego kina rozmawiał będzie krytyk filmowy Łukasz Maciejewski. ""Pierwsze rozmowy, taki był zamysł, będą naszym pokłonem dla twórców trójmiejskich, dla trójmiejskich gwiazd"" - stwierdził dziennikarz.",en,Katarzyna Figura: I want to live a long and work intensively,"""One hundred years is too much. He wants to live a long and work intensively,"" says Katarzyna Figura during the inauguration of his own meetings at the ""Filmmakers"" work house in Sopot. Once a month, the film critic Ukasz Maciejewski will talk with the outstanding personalities of Polish cinema. ""The first conversations, such as thoughts, will be our defeat for Trojm Tworcow, for Trojian stars,"" says the journalist.",2025-03-18 06:43:29
pl,"Ekspert ma wątpliwości co do decyzji kadrowicza. ""Zastanawiam się""",Kacper Urbański zimą przeniósł się na wypożyczenie do AC Monzy. Były reprezentant Polski Marcin Żewłakow w Kanale Sportowym skomentował obecną sytuację 21-letniego pomocnika.,en,"The expert has doubts about Kadrowicz's decision. ""I'm wondering""",Kacper Urbanski Winter will move to a sheet to AC Monza. There were Polish representative Marcin external in the sports channel. The current situation of a 21-year-old midfielder.,2025-03-18 06:43:14
pl,"Paulina Smaszcz wije się w samej BIELIŹNIE: ""Nie wstydzę się swojego ciała, nie wstydzę się swojego wieku""","Paulina Smaszcz pochwaliła się efektami profesjonalnej sesji zdjęciowej. 52-letnia ""kobieta petarda"" zapozowała do niej jedynie w majtkach i biustonoszu. Odważnie?",en,"Paulina Smaszcz writes in the underwear: ""I am not ashamed of her body, I will not be ashamed of my age""","Paulina Smaszcz boasts the effects of a professional photo session. The 52-year-old ""Firecore woman"" only familiarizes her in panties and a bra. Boldly?",2025-03-18 06:43:00
pl,"Świątek nabiera rozpędu w Miami. Pierwsze ""starcie"" już za Polką","Iga Świątek wciąż czeka na pierwszy turniejowy triumf w tym roku. Polka po odpadnięciu w półfinale Indian Wells, teraz przygotowuje się do kolejnego prestiżowego turnieju - w Miami. Wiadomo już z kim Świątek trenowała.",en,"The lights take on a delay in Miami. The first ""clash"" already for a Polish woman",Iga Swiatek is still waiting for the first tournament triumph this year. A Polish woman after falling off in the Indian Wells povin. It is already known who the world is training with.,2025-03-18 06:43:00
pl,Renata Pałys szczerze o emeryturach gwiazd: naprawdę nie było z czego odkładać,"Emerytury artystów to temat, który od lat budzi kontrowersje. Wielu twórców, mimo możliwości przejścia na zasłużony odpoczynek, wciąż decyduje się na aktywność zawodową. Renata Pałys, znana powszechnie z roli Heleny Paździoch w ""Świecie według Kiepskich"", zabrała głos w tej sprawie, broniąc artystów i wyjaśniając, dlaczego wielu z nich otrzymuje niskie świadczenia.",en,Renata Pays honestly about the pensions of the stars: really could not be done,"Artists' pensions are a topic that has been controversial for years. Many creations, despite the possibility of switching to retaining rest, also decide to act on professional activity. Renata Pays, commonly known for the role of Helena Pazdzioch in the ""Vacation of the Kiepski"", take Gos in this matter, defend artists and explaining why many of them receive low benefits.",2025-03-18 06:42:27
